sku,name,brand,price,special_price,url,image,discount
7C53FSH31C0EE1GS,Revolution 8 Men's Road Running Shoes,Nike,Rp 869.000,,https://www.zalora.co.id/p/nike-revolution-8-men-s-road-running-shoes-green-4976217,https://dynamic.zacdn.com/UaMflUVW4wExF38IsGNlmJTUxdU=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-2126-7126794-1.jpg,
009C0SH4ED01A4GS,Eagle Sepatu Running Over Drive  – ABU MUDA/ORANYE,Eagle,Rp 369.900,,https://www.zalora.co.id/p/eagle-eagle-sepatu-running-over-drive-abu-muda-oranye-4625683,https://dynamic.zacdn.com/nx6Ojr57CeTVX63MDr6dtN1IukQ=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/eagle-9205-3865264-1.jpg,
5C41BSHB2EDEE2GS,Journey Run Road Running Shoes,Nike,Rp 1.399.000,Rp 1.119.200,https://www.zalora.co.id/p/nike-journey-run-road-running-shoes-blue-4788302,https://dynamic.zacdn.com/Azus1RfzqQfq6aOAk1aqbHMPOOI=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-3120-2038874-1.jpg,20% OFF
20ACESH1A36208GS,ASICS Men Gel-Kayano 31 Standard -1011B867.004,ASICS,Rp 2.499.000,Rp 1.674.330,https://www.zalora.co.id/p/asics-asics-men-gel-kayano-31-standard-1011b867-004-multi-4813952,https://dynamic.zacdn.com/QAy3nzO9ArjHQTLkV-G0oRy4350=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/asics-6188-2593184-1.jpg,33% OFF
DDEF9SH9908D29GS,910 Nineten HANNA 1.0 Sepatu Lari - Merah Muda/Biru-Navy/Putih,910,Rp 629.900,,https://www.zalora.co.id/p/910-910-nineten-hanna-1-0-sepatu-lari-merah-muda-biru-navy-putih-pink-4295700,https://dynamic.zacdn.com/5NZMq2IbZZhii9py2cqWf0xcoCQ=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/910-9146-0075924-1.jpg,
9C638SH64725CAGS,Downshifter 13 Shoes,Nike,Rp 899.000,,https://www.zalora.co.id/p/nike-downshifter-13-shoes-grey-4904425,https://dynamic.zacdn.com/Bm8z7URhthard7I6xa8gQ970p6A=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-3571-5244094-1.jpg,
39E45SH8596F06GS,Running Duramo SL 2 Wide Running Shoes Men Black IF9400,ADIDAS,Rp 900.000,,https://www.zalora.co.id/p/adidas-running-duramo-sl-2-wide-running-shoes-men-black-if9400-black-5061312,https://dynamic.zacdn.com/XpFpiGqZDeC3HEfwevT2Nd4VFFg=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-5981-2131605-1.jpg,
12C07SH9520811GS,Runfalcon 5 Running Shoes,ADIDAS,Rp 850.000,,https://www.zalora.co.id/p/adidas-runfalcon-5-running-shoes-blue-4493379,https://dynamic.zacdn.com/_DlarxK51lCKefBA0iZMK1d_P5I=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-2742-9733944-1.jpg,
A1AB3SH25CBF6FGS,Revolution 8 Men's Road Running Shoes,Nike,Rp 869.000,Rp 782.100,https://www.zalora.co.id/p/nike-revolution-8-men-s-road-running-shoes-black-4904725,https://dynamic.zacdn.com/9jpBbJoT1iTRgPA1uGyvU60XXXY=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-8736-5274094-1.jpg,10% OFF
983B0SHE636F33GS,Charged Assert 10 Camo Men's Running Shoes,Under Armour,Rp 999.000,,https://www.zalora.co.id/p/under-armour-charged-assert-10-camo-men-s-running-shoes-green-5013513,https://dynamic.zacdn.com/3vLIJ6zZblkXehFcRStZb_uLf3I=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/under-armour-9658-3153105-1.jpg,
